,luciana_01,luciana_02,luciana_03,luciana_04,luciana_05,luciana_06,luciana_07,luciana_08,luciana_09,luciana_10,luciana_11,luciana_12,luciana_13,luciana_14,luciana_15,luciana_16,luciana_17,luciana_18,luciana_19,luciana_27,luciana_28,luciana_32,luciana_34,luciana_35
luciana_01,0.0,0.4950943549533811,0.3944664428447298,0.2999622170572812,0.9212286163725739,0.9300799232578494,0.9046559146493636,0.9008077821218571,0.9040350349966043,0.8900636335742271,0.8827888694156031,0.48832559907001644,0.3112348873673835,0.7449087318371194,0.6774369755691292,0.7551242143549176,0.7272748533756727,0.7822842992862576,0.7848430587739625,0.5591389670647295,0.5490396379949894,0.7160794989638217,0.4488282047398608,0.5529961720019686
luciana_02,0.4950943549533811,0.0,0.26736432693756723,0.4764937423474209,0.8770341380433407,0.8880562982620079,0.8568552131509927,0.8465953175073861,0.8653427921926483,0.8541649556821905,0.8410414414520562,0.26052834681279546,0.4383477480846634,0.6797142633306982,0.6412109803019906,0.7979422987189909,0.8446087590182109,0.8797477982666981,0.872532399559051,0.5633506814184938,0.6973452603375045,0.7880322730577173,0.5778446515821846,0.6371336001183056
luciana_03,0.3944664428447298,0.26736432693756723,0.0,0.3859302733790575,0.8939353691929962,0.9030495180527747,0.8744800820682354,0.8684275507697218,0.8797034739079198,0.8652886816217997,0.8543292884240147,0.3154562029961474,0.3835451900146586,0.6911341791404799,0.6196401492670449,0.7705714760918353,0.7992280225872492,0.8482192330395121,0.8439546944336885,0.5590518228405834,0.6421281239159415,0.7498221674663105,0.5089494209476693,0.5958518232239928
luciana_04,0.2999622170572812,0.4764937423474209,0.3859302733790575,0.0,0.9232903833749172,0.9330398704302808,0.9063148697371257,0.9003278294964571,0.9167235583813221,0.9040012834133954,0.8889150898159003,0.48028432694452183,0.328347245409015,0.743559690980559,0.6897519915024778,0.7549369993777012,0.7321414178051827,0.7976406557274297,0.7947599256010471,0.564477682413239,0.5593550259822307,0.7296812559200534,0.4788718983256002,0.5598692136673581
luciana_05,0.9212286163725739,0.8770341380433407,0.8939353691929962,0.9232903833749172,0.0,0.27886031103919,0.22633479952178304,0.35329658068865405,0.5788371463717853,0.6214862513737384,0.44593888878442944,0.8830867299737978,0.9091312508785614,0.9446519436963055,0.9339695530465568,0.9521795416858622,0.9736051764973771,0.9747312687016115,0.9723544541538056,0.9377025492826917,0.9436670836315809,0.9679742425304957,0.9378890616644875,0.9349501240677147
luciana_06,0.9300799232578494,0.8880562982620079,0.9030495180527747,0.9330398704302808,0.27886031103919,0.0,0.24676025917926567,0.35835137779773873,0.5549556903751331,0.6020478869781788,0.4356101428437051,0.8936666401206694,0.9197956118204911,0.9530795181360051,0.9421780911238804,0.9577217298517259,0.9749818574924802,0.9763211598793823,0.973204368752314,0.9419864002745558,0.9467194748467388,0.9687483513352865,0.9428724383048528,0.9372939121167839
luciana_07,0.9046559146493636,0.8568552131509927,0.8744800820682354,0.9063148697371257,0.22633479952178304,0.24676025917926567,0.0,0.2862660472276438,0.5267468626446319,0.5742100990469295,0.38698892732052975,0.8639439546887133,0.890318694597276,0.9337565216468253,0.9230500930819764,0.9416732714488936,0.9695878021577715,0.971887230060849,0.9687070118950615,0.9266034919966792,0.9344126269675377,0.9635688287137989,0.927744603162549,0.9255199979923298
luciana_08,0.9008077821218571,0.8465953175073861,0.8684275507697218,0.9003278294964571,0.35329658068865405,0.35835137779773873,0.2862660472276438,0.0,0.5392837254698122,0.5898830649787057,0.4057509987698004,0.8555458904237313,0.8850204080777289,0.9307486702100465,0.920197119451379,0.942143074400046,0.9697025267197743,0.9715190379479635,0.9685519181549612,0.919726633323424,0.9304935807878832,0.9632598509485519,0.9235478405891144,0.9206039825641137
luciana_09,0.9040350349966043,0.8653427921926483,0.8797034739079198,0.9167235583813221,0.5788371463717853,0.5549556903751331,0.5267468626446319,0.5392837254698122,0.0,0.3573138149146898,0.37636867468710117,0.8692361903346429,0.8915014252745485,0.9414807670628906,0.9303417138506852,0.93908122188018,0.9619098672779031,0.9621428232502965,0.9575901312339876,0.9246511687804375,0.9233127143055123,0.9546662465825222,0.922047886516055,0.9158076124637725
luciana_10,0.8900636335742271,0.8541649556821905,0.8652886816217997,0.9040012834133954,0.6214862513737384,0.6020478869781788,0.5742100990469295,0.5898830649787057,0.3573138149146898,0.0,0.40791763356769967,0.8587778917958018,0.8752816726811934,0.9404475431192705,0.9276292309149046,0.9347951607350521,0.9565063176853733,0.9577073508652068,0.9516022660803382,0.9223101388565665,0.9142843471372291,0.9550091103319724,0.9132423358886715,0.9080428726180656
luciana_11,0.8827888694156031,0.8410414414520562,0.8543292884240147,0.8889150898159003,0.44593888878442944,0.4356101428437051,0.38698892732052975,0.4057509987698004,0.37636867468710117,0.40791763356769967,0.0,0.8453844619200614,0.8679143963555924,0.9286206929258903,0.915260756139424,0.9305751770082824,0.9576326291809207,0.9597489653805169,0.9554840030182408,0.9114676484557857,0.9148050987799999,0.9523384653171295,0.9099969400591589,0.9055763418165538
luciana_12,0.48832559907001644,0.26052834681279546,0.3154562029961474,0.48028432694452183,0.8830867299737978,0.8936666401206694,0.8639439546887133,0.8555458904237313,0.8692361903346429,0.8587778917958018,0.8453844619200614,0.0,0.4231888636484624,0.683825906616631,0.6404270407602359,0.7957684855573417,0.8446676744412062,0.8763528041889604,0.8721353185073502,0.5485049478942832,0.6958490412657121,0.7893368377346626,0.5709036598912919,0.6272550841277496
luciana_13,0.3112348873673835,0.4383477480846634,0.3835451900146586,0.328347245409015,0.9091312508785614,0.9197956118204911,0.890318694597276,0.8850204080777289,0.8915014252745485,0.8752816726811934,0.8679143963555924,0.4231888636484624,0.0,0.7208548194462586,0.6821314992138471,0.7558250969435051,0.760436089900279,0.8024431875230095,0.8047692263949976,0.5273742990566569,0.5791604276359659,0.7487723528363687,0.49241867874032536,0.5658668200387377
luciana_14,0.7449087318371194,0.6797142633306982,0.6911341791404799,0.743559690980559,0.9446519436963055,0.9530795181360051,0.9337565216468253,0.9307486702100465,0.9414807670628906,0.9404475431192705,0.9286206929258903,0.683825906616631,0.7208548194462586,0.0,0.6945915233346531,0.7743531240772616,0.8946322933990881,0.9186935528978235,0.9151757790613572,0.7934961013921162,0.8372123426279124,0.8397771981944022,0.7908367884602345,0.8283747759956492
