sample_full,sample,database,dataset
luciana_33_EuPathDB,luciana_33,EuPathDB,suelos2
luciana_33_GTDB,luciana_33,GTDB,suelos2
luciana_33_PlusPFP,luciana_33,PlusPFP,suelos2
luciana_36_EuPathDB,luciana_36,EuPathDB,suelos2
luciana_36_GTDB,luciana_36,GTDB,suelos2
luciana_36_PlusPFP,luciana_36,PlusPFP,suelos2
luciana_37_EuPathDB,luciana_37,EuPathDB,suelos2
luciana_37_GTDB,luciana_37,GTDB,suelos2
luciana_37_PlusPFP,luciana_37,PlusPFP,suelos2
luciana_26_EuPathDB,luciana_26,EuPathDB,suelos3
luciana_26_GTDB,luciana_26,GTDB,suelos3
luciana_26_PlusPFP,luciana_26,PlusPFP,suelos3
luciana_38_EuPathDB,luciana_38,EuPathDB,suelos3
luciana_38_GTDB,luciana_38,GTDB,suelos3
luciana_38_PlusPFP,luciana_38,PlusPFP,suelos3
