dataset,tratamiento,n,reads_mean,observed_mean,shannon_mean,simpson_mean
suelos1,Agroecológico,12,522169.3333333333,55228.666666666664,8.138429636711573,0.9831158878866146
suelos1,Convencional ,4,1006273.25,41646.5,6.794185836515478,0.9842988381973373
suelos1,Integrado,8,269935.375,33148.375,8.836380409376602,0.9991522189785389
suelos2,otherBokashi,3,319253.0,34904.333333333336,9.213423201806014,0.9993690850314261
suelos2,otherComposta,3,536593.6666666666,36818.0,9.178899258412764,0.9992517095056227
suelos2,otherQuimico,3,403073.3333333333,22508.666666666668,8.378506106107753,0.9985572098341818
suelos2,otherTestigo,1,347029.0,13910.0,6.578502742311402,0.9852192336381369
suelos3,other,2,564238.0,20154.0,5.127409131912989,0.9554886339300047
