sample,nombre,fertilizer,tratamiento,estudio,fungicide,pesticide,herbicide,plant,ph,org_matter,temp,plant_growth_med,plant_water_method,experiment
luciana_38,TK3,other,other,3,,,,,,,22.5,water,,2
luciana_26,BF1,other,other,3,,,,tomato,,,22.5,water,,2
